name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
ANRAKU Sorato,JPN,1,50+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,50+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Roberts Toby,GBR,1,50+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,50+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Duffy Colin,USA,3,46+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,46+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Scherz Stefan,AUT,4,42,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,42,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
LEE Dohyun,KOR,5,40+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,40+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Megos Alexander,GER,5,40+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,40+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Avezou Sam,FRA,7,39+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Potocar Luka,SLO,8,39+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
OMATA Shion,JPN,9,39+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Halenke Sebastian,GER,10,39+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
YOSHIDA Satone,JPN,11,39+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
HOMMA Taisei,JPN,12,39,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
YURIKUSA Ao,JPN,13,39,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Ogata Yoshiyuki,JPN,14,39,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,39,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Schalck Mejdi,FRA,15,38+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,38+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
SONG Yunchan,KOR,16,38+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,38+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Jenft Paul,FRA,17,35+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,35+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Grupper Jesse,USA,18,30+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,30+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Bailey Sean,USA,19,30+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,30+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Bombardi Marcello,ITA,20,30,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,30,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Utelli Jonas,SUI,21,30,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,30,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Schenk Filip,ITA,22,29+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,29+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Suzuki Neo,JPN,23,28,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,28,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Duval Arsène,FRA,24,27+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,27+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
Martin Philipp,GER,24,27+,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,27+,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
HIGUCHI Masahiro,JPN,26,7,IFSC World Cup Chamonix 2023,1299,2023,Chamonix,Lead,Men,Semi-final,2023-07-07,/api/v1/category_rounds/8330/results,/api/v1/events/1299/result/1,7,2023-07-07_Chamonix_Lead_Men_Semi-final.csv
