name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
ANRAKU Sorato,JPN,1,1415.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,610,4,805,2,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Schubert Jakob,AUT,2,1300.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,300,12,1000,1,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
LEE Dohyun,KOR,3,1300.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,690,3,610,4,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Schalck Mejdi,FRA,4,1130.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,805,2,325,11,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Mawem Mickael,FRA,5,1007.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,1000,1,7.0,51,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Megos Alexander,GER,6,895.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,205,17,690,3,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Ondra Adam,CZE,7,830.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,415,8,415,8,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Jenft Paul,FRA,8,820.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,325,11,495,6,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Avezou Sam,FRA,9,620.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,350,10,270.0,12,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
Uznik Nicolai,AUT,10,565.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Men,Qualification,2023-08-01,/api/v1/category_rounds/8348/results,/api/v1/events/1301/result/617,545,5,20.0,37,2023-08-01_Bern_Boulder&lead_Men_Qualification.csv
