name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Boulder_score,Boulder_rank,Lead_score,Lead_rank,source_file
Garnbret Janja,SLO,1,1805.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,1000,1,805,2,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Mori Ai,JPN,2,1495.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,495,6,1000,1,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Raboutou Brooke,USA,3,1235.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,690,3,545,5,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Bertone Oriane,FRA,4,1130.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,805,2,325,11,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Pilz Jessica,AUT,5,910.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,415,8,495,6,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Avezou Zélia,FRA,6,765.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,610,4,155,20,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
SEO Chaehyun,KOR,7,700.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,10.5,45,690,3,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Krampl Mia,SLO,8,649.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,39.5,31,610,4,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Grossman Natalia,USA,9,613.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,545,5,68.0,27,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Rogora Laura,ITA,10,586.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,131.66,21,455,7,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Thompson-Smith Molly,GBR,11,565.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,185,18,380,9,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Nonaka Miho,JPN,12,520.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,105,24,415,8,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Sanders Anastasia,USA,13,501.0,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,260,14,241.0,13,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Mackenzie Oceania,AUS,14,465.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,455,7,10.5,45,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Hily Manon,FRA,15,431.66,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,131.66,21,300,12,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Kerem Ayala,ISR,16,381.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,350,10,31.5,33,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Lukan Vita,SLO,17,357.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,7.4,49,350,10,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Condie Kyra,USA,18,265.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,240,15,25.5,35,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
KIM Jain,KOR,19,251.5,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,10.5,45,241.0,13,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
Janicot Hélène,FRA,20,248.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,7.4,49,241.0,13,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
SEO Yejoo,KOR,20,248.4,IFSC World Championships Bern 2023,1301,2023,Bern,Boulder&lead,Women,Qualification,2023-08-01,/api/v1/category_rounds/8349/results,/api/v1/events/1301/result/618,7.4,49,241.0,13,2023-08-01_Bern_Boulder&lead_Women_Qualification.csv
