name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Roberts Toby,GBR,1,43+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,43+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Ondra Adam,CZE,2,39+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,39+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Schubert Jakob,AUT,3,38+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,38+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Megos Alexander,GER,4,34,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,34,2023-08-01_Bern_Lead_Men_Semi-final.csv
SONG Yunchan,KOR,5,32+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,32+,2023-08-01_Bern_Lead_Men_Semi-final.csv
YURIKUSA Ao,JPN,5,32+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,32+,2023-08-01_Bern_Lead_Men_Semi-final.csv
ANRAKU Sorato,JPN,7,30+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,30+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Bailey Sean,USA,8,29+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,29+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Jenft Paul,FRA,8,29+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,29+,2023-08-01_Bern_Lead_Men_Semi-final.csv
LEE Dohyun,KOR,8,29+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,29+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Schalck Mejdi,FRA,11,27+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,27+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Avezou Sam,FRA,12,26+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Duffy Colin,USA,12,26+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Lehmann Sascha,SUI,12,26+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26+,2023-08-01_Bern_Lead_Men_Semi-final.csv
NARASAKI Tomoa,JPN,12,26+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Ghisolfi Stefano,ITA,16,26,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26,2023-08-01_Bern_Lead_Men_Semi-final.csv
McColl Sean,CAN,16,26,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,26,2023-08-01_Bern_Lead_Men_Semi-final.csv
Flohé Yannick,GER,18,24+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,24+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Grupper Jesse,USA,19,24,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,24,2023-08-01_Bern_Lead_Men_Semi-final.csv
Stranik Martin,CZE,19,24,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,24,2023-08-01_Bern_Lead_Men_Semi-final.csv
PAN YUFEI,CHN,21,22+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,22+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Utelli Jonas,SUI,22,22,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,22,2023-08-01_Bern_Lead_Men_Semi-final.csv
Bombardi Marcello,ITA,23,20+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,20+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Ginés López Alberto,ESP,24,19+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,19+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Grünenfelder Nino,SUI,24,19+,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,19+,2023-08-01_Bern_Lead_Men_Semi-final.csv
Schenk Filip,ITA,26,18,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,18,2023-08-01_Bern_Lead_Men_Semi-final.csv
Ogata Yoshiyuki,JPN,27,6,IFSC World Championships Bern 2023,1301,2023,Bern,Lead,Men,Semi-final,2023-08-01,/api/v1/category_rounds/8322/results,/api/v1/events/1301/result/1,6,2023-08-01_Bern_Lead_Men_Semi-final.csv
