name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Roberts Toby,GBR,1,45+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,45+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
ANRAKU Sorato,JPN,2,44+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,44+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Tanaka Shuta,JPN,3,32+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,32+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Milne Maximillian,GBR,4,32+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,32+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
HOMMA Taisei,JPN,5,31+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,31+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Lehmann Sascha,SUI,6,31+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,31+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Van Duysen Hannes,BEL,7,31+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,31+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
MURASHITA Zento,JPN,8,31,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,31,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
OMATA Shion,JPN,8,31,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,31,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
NARASAKI Tomoa,JPN,10,30+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,30+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
YOSHIDA Satone,JPN,11,30+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,30+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Avezou Sam,FRA,12,28+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,28+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
YURIKUSA Ao,JPN,12,28+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,28+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
HIGUCHI Masahiro,JPN,14,27+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,27+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Potocar Luka,SLO,15,27+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,27+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
LEE Dohyun,KOR,16,26+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,26+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Stranik Martin,CZE,17,26+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,26+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Schenk Filip,ITA,18,26,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,26,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Ogata Yoshiyuki,JPN,19,24+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,24+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Duffy Colin,USA,20,15+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
IMAIZUMI Yuta,JPN,21,15+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Ghisolfi Stefano,ITA,22,15+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Utelli Jonas,SUI,23,15+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
Harrison Campbell,AUS,24,15+,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15+,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
MUSAUWIR MUSAUWIR,INA,25,15,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1,15,2024-04-12_Wujiang_Lead_Men_Semi-final.csv
