name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Garnbret Janja,SLO,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP,2024-04-12_Wujiang_Lead_Women_Qualification.csv
LUO ZHILU,CHN,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Rogora Laura,ITA,1,2.45,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,TOP,TOP,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Hily Manon,FRA,4,3.46,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,43+,TOP,2024-04-12_Wujiang_Lead_Women_Qualification.csv
SEO Chaehyun,KOR,5,5.05,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,TOP,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Thompson-Smith Molly,GBR,6,7.14,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,44+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
KIM Jain,KOR,7,8.25,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,42+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
ITO Futaba,JPN,8,9.22,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Nonaka Miho,JPN,8,9.22,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Janicot Hélène,FRA,10,10.71,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,41,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Zhang YUETONG,CHN,11,12.69,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,43+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Gejo Stasa,SRB,12,12.71,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,36,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Pötzi Mattea,AUT,13,13.5,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,38+,41,2024-04-12_Wujiang_Lead_Women_Qualification.csv
TANII Natsuki,JPN,14,15.17,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,41+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
NAKAGAWA Ryu,JPN,15,15.59,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,38+,36+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Avezou Zélia,FRA,16,16.1,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,39+,30+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
LINTANG CAHYANI SUKMA,INA,17,17.62,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,41,2024-04-12_Wujiang_Lead_Women_Qualification.csv
ODA Natsumi,JPN,17,17.62,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,41,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Mcneice Erin,GBR,19,19.77,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,37+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Krampl Mia,SLO,20,21.98,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,35,2024-04-12_Wujiang_Lead_Women_Qualification.csv
van der Meer Lynn,NED,21,22.49,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,32+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Meul Hannah,GER,22,23.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,31+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Shiran Noa,ISR,22,23.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,31+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Tesio Giorgia,ITA,22,23.74,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,37+,31+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
Clark Adriene Akiko,USA,25,24.17,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5,31+,40+,2024-04-12_Wujiang_Lead_Women_Qualification.csv
