name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
LEHMANN Sascha,SUI,1.0,1.22,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,42,40,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
ANRAKU Sorato,JPN,2.0,3.54,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,40+,37+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
SCHUBERT Jakob,AUT,2.0,3.54,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,40+,37+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
MEGOS Alexander,GER,4.0,5.34,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,41+,34+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
ROBERTS Toby,GBR,4.0,5.34,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,42,32+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
HOMMA Taisei,JPN,6.0,6.89,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,40+,34+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
TANAKA Shuta,JPN,7.0,7.14,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,37+,35+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
UTELLI Jonas,SUI,8.0,7.35,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,36+,36+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
MURASHITA Zento,JPN,9.0,8.62,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,34+,36+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
OMATA Shion,JPN,10.0,8.99,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,37+,34+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
YOSHIDA Satone,JPN,10.0,8.99,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,37+,34+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
YURIKUSA Ao,JPN,12.0,10.31,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,37+,34,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
GHISOLFI Stefano,ITA,13.0,12.12,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,32,35,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
NARASAKI Tomoa,JPN,14.0,16.25,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,36+,32,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
BERTONE Max,FRA,15.0,17.44,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,32+,33,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
IMAIZUMI Yuta,JPN,16.0,17.71,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,34+,32+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
POTOCAR Luka,SLO,17.0,17.85,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,31+,34,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
Duffy Colin,USA,18.0,18.89,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,31+,33+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
PLACCI Giovanni,ITA,19.0,19.08,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,36,30+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
GRÜNENFELDER Nino,SUI,20.0,19.75,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,35,30+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
PEINADO FRANGANILLO Guillermo,ESP,21.0,21.49,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,32,32,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
BAUDRAND Oscar,CAN,22.0,23.67,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,31,32+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
KWON Kibeom,KOR,23.0,24.66,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,29+,33,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
STIPEK Jan,CZE,23.0,24.66,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,29+,33,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
NAGEL Yannick,GER,25.0,24.74,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,31+,31+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
SCHENK Filip,ITA,26.0,30.1,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,36+,19,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
STRANIK Martin,CZE,27.0,30.3,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,31+,21+,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
HIGUCHI Masahiro,JPN,28.0,30.89,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,34,21,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
MARTIN Philipp,GER,29.0,31.29,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,27,32,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
Sato Nathan,USA,30.0,32.62,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1,29+,28,2024-06-26_Innsbruck_Lead_Men_Qualification.csv
