name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
SCHUBERT Jakob,AUT,1,49+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,49+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
ROBERTS Toby,GBR,2,46+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,46+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
HOMMA Taisei,JPN,3,46+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,46+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
UTELLI Jonas,SUI,4,44+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,44+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
Duffy Colin,USA,5,44+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,44+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
MEGOS Alexander,GER,6,43,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,43,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
TANAKA Shuta,JPN,7,43,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,43,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
NARASAKI Tomoa,JPN,8,43,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,43,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
LEHMANN Sascha,SUI,9,42+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
ANRAKU Sorato,JPN,10,42+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
MURASHITA Zento,JPN,11,42+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
YOSHIDA Satone,JPN,12,42+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
POTOCAR Luka,SLO,13,42+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
GHISOLFI Stefano,ITA,14,42,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,42,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
PLACCI Giovanni,ITA,15,41,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,41,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
OMATA Shion,JPN,16,36+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,36+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
YURIKUSA Ao,JPN,17,36+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,36+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
SCHENK Filip,ITA,18,36+,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,36+,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
BERTONE Max,FRA,19,36,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,36,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
KWON Kibeom,KOR,20,35,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1,35,2024-06-26_Innsbruck_Lead_Men_Semi-final.csv
