name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
ROGORA Laura,ITA,1,41+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,41+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
PÖTZI Mattea,AUT,2,41+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,41+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
KIM Jain,KOR,3,40+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,40+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
KOTAKE Mei,JPN,4,39+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,39+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
TOTKOVA Aleksandra,BUL,5,39+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,39+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
ODA Natsumi,JPN,6,39+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,39+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
Rekar Rosa,SLO,7,39,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,39,2024-07-17_Briancon_Lead_Women_Semi-final.csv
OBLASSER Flora,AUT,8,38+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,38+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
VAN DER MEER Lynn,NED,9,38,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,38,2024-07-17_Briancon_Lead_Women_Semi-final.csv
MACIÀ MARTÍN Geila,ESP,10,38,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,38,2024-07-17_Briancon_Lead_Women_Semi-final.csv
DOUMONT Heloïse,BEL,11,37+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,37+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
JANICOT Hélène,FRA,12,37,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,37,2024-07-17_Briancon_Lead_Women_Semi-final.csv
TARKUS Lucija,SLO,13,37,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,37,2024-07-17_Briancon_Lead_Women_Semi-final.csv
COPAR Sara,SLO,14,36+,IFSC World Cup Briançon 2024,1358,2024,Briancon,Lead,Women,Semi-final,2024-07-17,/api/v1/category_rounds/9138/results,/api/v1/events/1358/result/5,36+,2024-07-17_Briancon_Lead_Women_Semi-final.csv
