name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
MACKENZIE Oceania,AUS,1.0,5T5z 11 11,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,2,2,1,1,4,4,2,2,2,2,2024-10-02_Seoul_Boulder_Women_Qualification.csv
MATSUFUJI Anon,JPN,1.0,5T5z 6 6,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,1,1,1,1,2,2,1,1,1,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
Grossman Natalia,USA,3.0,5T5z 8 7,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,3,3,1,1,1,1,2,1,1,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
ITO Futaba,JPN,3.0,4T5z 9 10,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,2,2,1,1,4,4,X,1,2,2,2024-10-02_Seoul_Boulder_Women_Qualification.csv
Sanders Anastasia,USA,5.0,5T5z 9 8,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,1,1,1,1,4,4,2,1,1,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
NONAKA Miho,JPN,5.0,5T5z 9 8,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,1,1,1,1,3,3,2,2,2,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
ZHANG Yuetong,CHN,5.0,4T5z 11 15,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,4,3,1,1,4,4,2,2,X,5,2024-10-02_Seoul_Boulder_Women_Qualification.csv
AVEZOU Zélia,FRA,8.0,4T5z 13 9,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,4,4,1,1,3,1,X,2,5,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
MCNEICE Erin,GBR,9.0,5T5z 13 11,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,1,1,1,1,8,6,2,2,1,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
NAKAMURA Mao,JPN,9.0,4T5z 13 16,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,2,1,1,1,8,8,X,5,2,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
SEO Chaehyun,KOR,11.0,4T5z 17 18,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,2,2,1,1,8,8,X,4,6,3,2024-10-02_Seoul_Boulder_Women_Qualification.csv
CALLIET Agathe,FRA,11.0,4T5z 9 9,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,3,1,1,1,2,2,X,4,3,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
DEBEVEC Katja,SLO,13.0,4T5z 12 11,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,5,5,3,1,3,2,X,2,1,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
ABRIAT Lily,FRA,13.0,4T4z 7 5,IFSC World Cup Seoul 2024,1361,2024,Seoul,Boulder,Women,Qualification,2024-10-02,/api/v1/category_rounds/8535/results,/api/v1/events/1361/result/7,2,2,1,1,1,1,X,X,3,1,2024-10-02_Seoul_Boulder_Women_Qualification.csv
