name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
AVEZOU Zélia,FRA,1,100.0,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,1,1,1,1,1,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
NAKAMURA Mao,JPN,2,100.0,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,1,1,1,1,1,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
SANDERS Annie,USA,3,99.7,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,2,2,2,1,2,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
MEIGNAN Naïlé,FRA,4,99.6,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,2,1,3,1,1,1,2,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
ITO Futaba,JPN,5,84.9,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,1,1,2,2,X,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
MACKENZIE Oceania,AUS,6,84.9,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,1,1,2,2,X,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
BERTONE Oriane,FRA,7,84.7,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,2,1,2,2,2,1,X,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
NONAKA Miho,JPN,8,84.6,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,X,2,1,1,4,2,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
GILLETT Helen,USA,9,84.6,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,1,1,2,2,4,2,X,1,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
EDWARDS Emma,GBR,10,84.3,IFSC World Cup Salt Lake City 2025,1409,2025,"Salt Lake City, USA",Boulder,Women,Semi-final,2025-05-23,/api/v1/category_rounds/10032/results,/api/v1/events/1409/result/7,5,5,2,2,2,1,X,2,"2025-05-23_Salt Lake City, USA_Boulder_Women_Semi-final.csv"
