name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
LEE Dohyun,KOR,1,109.5,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,3,1,1,3,3,2,2,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
SANO Daiki,JPN,1,109.0,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,2,1,3,3,X,4,3,3,3,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
SCHALCK Mejdi,FRA,3,108.5,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,1,1,1,1,1,1,X,15,2,2,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
RICHARD Samuel,FRA,3,93.6,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,5,3,2,3,2,5,3,X,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
MACDOUGALL Jack,GBR,5,79.5,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,X,1,3,3,4,1,X,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
PAN Yufei,CHN,5,106.8,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,3,1,1,1,7,6,X,21,5,3,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
ANRAKU Sorato,JPN,7,99.9,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,2,1,1,1,1,1,X,X,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
ONDRA Adam,CZE,7,79.3,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,1,X,4,X,2,4,3,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
POSCH Jan-Luca,AUT,9,78.1,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,7,X,4,6,6,X,2,5,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
LEMAIRE Adrien,FRA,9,99.6,IFSC World Cup Prague 2025,1410,2025,"Prague, CZE",Boulder,Men,Qualification,2025-06-06,/api/v1/category_rounds/9395/results,/api/v1/events/1410/result/3,X,X,1,1,4,1,2,1,1,1,"2025-06-06_Prague, CZE_Boulder_Men_Qualification.csv"
