name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
GINÉS LÓPEZ Alberto,ESP,1,2.12,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,38+,45+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
SUZUKI Neo,JPN,2,2.65,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,TOP,44+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
ANRAKU Sorato,JPN,3,3.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,39+,44+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
YOSHIDA Satone,JPN,4,5.29,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,36,45,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
AVEZOU Sam,FRA,5,6.18,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34,45+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
MURASHITA Zento,JPN,6,7.42,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,36+,43+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
LEE Dohyun,KOR,7,8.26,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34+,45,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
FLOHÉ Yannick,GER,8,9.38,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,36+,38,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
ROBERTS Toby,GBR,9,11.68,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34+,44+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
VAN DUYSEN Hannes,BEL,9,11.68,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34+,44+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
PLACCI Giovanni,ITA,11,12.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,36+,36,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
TRI RAMADANI Putra,INA,11,12.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,36+,36,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
LEHMANN Sascha,SUI,13,12.46,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35+,38+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
MEGOS Alexander,GER,14,13.64,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35,39+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
BERTONE Max,FRA,15,14.65,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34+,40+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
UTELLI Jonas,SUI,16,14.73,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,33+,44+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
POTOCAR Luka,SLO,17,14.78,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35+,37+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
MARCHALAND Jules,FRA,18,18.88,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35+,35+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
RIZKY SYAHRAFLI SIMATUPANG Muhammad,INA,19,19.77,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35+,34+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
Konecny Jakub,CZE,20,20.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,35+,33,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
GRUPPER Jesse,USA,21,21.18,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Men,Qualification,2025-06-25,/api/v1/category_rounds/9401/results,/api/v1/events/1412/result/1,34+,36+,"2025-06-25_Innsbruck, AUT_Lead_Men_Qualification.csv"
