name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
GARNBRET Janja,SLO,1,1.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,TOP,TOP,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
MCNEICE Erin,GBR,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
Rakovec Lucka,SLO,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
ROGORA Laura,ITA,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
SANDERS Annie,USA,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
SEO Chaehyun,KOR,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
TANII Natsuki,JPN,2,4.74,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
REKAR Rosa,SLO,8,7.25,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,40+,38+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
KRAMPL Mia,SLO,9,10.25,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,37+,38+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
PÖTZI Mattea,AUT,10,11.66,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,34+,41+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
DOUMONT Heloïse,BEL,11,12.12,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,35+,38+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
NAKAGAWA Ryu,JPN,11,12.12,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Qualification,2025-06-25,/api/v1/category_rounds/9402/results,/api/v1/events/1412/result/5,35+,38+,"2025-06-25_Innsbruck, AUT_Lead_Women_Qualification.csv"
