name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
GARNBRET Janja,SLO,1,44+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,44+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
MCNEICE Erin,GBR,2,42+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,42+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
ROGORA Laura,ITA,2,42+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,42+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
SANDERS Annie,USA,2,42+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,42+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
REKAR Rosa,SLO,5,42+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,42+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
Rakovec Lucka,SLO,6,37+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,37+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
DOUMONT Heloïse,BEL,7,37+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,37+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
SEO Chaehyun,KOR,8,36+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,36+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
SMETANOVA Michaela,CZE,9,36+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,36+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
KIM Chaeyeong,KOR,10,36+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,36+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
TANII Natsuki,JPN,11,36,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,36,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
HILY Manon,FRA,12,35,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,35,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
PÖTZI Mattea,AUT,13,34+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,34+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
NAKAGAWA Ryu,JPN,14,34+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,34+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
CLARK Adriene Akiko,USA,15,34,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,34,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
POUGET Camille,FRA,16,31+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,31+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
FISER Julia,AUT,17,31,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,31,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
LUO Zhilu,CHN,18,30+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,30+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
ODA Natsumi,JPN,19,30+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,30+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
VAN DER MEER Lynn,NED,20,27,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,27,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
PEETERMANS Zoe,GBR,21,25+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,25+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
PLASSOUX DJIGA Ina,FRA,22,25+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,25+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
KRAMPL Mia,SLO,23,25,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,25,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
TOTKOVA Aleksandra,BUL,24,24+,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Lead,Women,Semi-final,2025-06-25,/api/v1/category_rounds/10096/results,/api/v1/events/1412/result/5,24+,"2025-06-25_Innsbruck, AUT_Lead_Women_Semi-final.csv"
