name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Garnbret Janja,SLO,1,2.12,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,TOP,TOP,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
SEO Chaehyun,KOR,1,2.12,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,TOP,TOP,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Rakovec Lucka,SLO,3,3.46,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,TOP,48+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Rogora Laura,ITA,3,3.46,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,TOP,48+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Mcneice Erin,GBR,5,5.05,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,TOP,46+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Hily Manon,FRA,6,5.83,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35+,48+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
TANII Natsuki,JPN,7,8.5,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35+,46+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
NAKAGAWA Ryu,JPN,8,10.1,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35,46+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
Tarkus Lucija,SLO,9,10.51,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35+,45+,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
KIM Chaeyeong,KOR,10,11.49,IFSC World Cup Koper 2025,1416,2025,"Koper, SLO",Lead,Women,Qualification,2025-09-05,/api/v1/category_rounds/9412/results,/api/v1/events/1416/result/5,35,46,"2025-09-05_Koper, SLO_Lead_Women_Qualification.csv"
