name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
CHU Shouhong,CHN,1,4.79,IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,5.034,True,4.965,True,4.843,True,4.798,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
OMASA Ryo,JPN,2,4.99,IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,5.069,True,5.161,True,WILDCARD,False,4.997,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
CARMANNS Leander,GER,3,4.98,IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,4.952,True,5.949,False,FALSE START,,,True,4.989,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
TKACH Yaroslav,UKR,4,5.11,IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,5.047,True,5.248,False,4.864,,,False,5.118,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
NURSAMSA Raharjati,INA,5,6.55 (4.86),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,4.933,False,6.55,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
LONG Jianguo,CHN,6,6.69 (4.92),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,4.925,False,6.691,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
HAMMER Zach,USA,7,6.40 (4.93),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,4.959,False,6.406,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
ILCHYSHYN Hryhorii,UKR,8,5.32 (5.06),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,True,5.061,False,5.328,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
KATIBIN Kiromal,INA,9,8.13 (4.86),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,8.13,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
MAIMURATOV Amir,KAZ,10,FALL (4.97),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,FALL,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
WATSON Samuel,USA,11,5.02 (4.97),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,5.02,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
LI Xu,CHN,12,5.16 (4.99),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,5.16,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
LING Yongzhi,CHN,13,FALL (5.02),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,FALL,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
YANG Jie,CHN,14,5.13 (5.04),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,5.13,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
ROBBY AL HILMI Antasyafi,INA,15,6.61 (5.08),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,6.611,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
FUJINO Shuto,JPN,16,FALL (5.10),IFSC World Cup Guiyang 2025,1467,2025,"Guiyang, CHN",Speed,Men,Final,2025-09-12,/api/v1/category_rounds/10237/results,/api/v1/events/1467/result/2,False,FALL,,,,,,,,,"2025-09-12_Guiyang, CHN_Speed_Men_Final.csv"
